mode_main,distance,main_reason,week_day,age,education,female,license,main_activity,cars,temp,precip,wind
pt,2.96092,shopping,4,25-34,middle,1,1,unemployed,1,20,0,1.1
pt,25.4214,commuting,4,25-34,lower,0,1,employee,1,20,0,1.1
car,32.4875,taking_bringing_persons,4,45-54,lower,1,0,"family caregiver",0,20,0,1.1
car,32.4875,commuting,4,"less than 18",lower,1,0,student,0,20,0,1.1
walk,0.859224,other,1,65-74,lower,0,1,retired/pensioner,1,14.9,0,1.7
car,0.319747,other,1,65-74,lower,1,0,retired/pensioner,0,14.9,0,1.7
pt,0.319747,taking_bringing_persons,1,25-34,lower,0,1,student,1,14.9,0,1.7
pt,1.3332,commuting,4,35-44,middle,0,1,employee,1,14.4,0,1.9
walk,2.30674,other,4,55-64,lower,0,1,retired/pensioner,1,18.7,0,2.5
pt,1.79645,shopping,4,55-64,lower,1,1,retired/pensioner,1,18.7,0,2.5
pt,19.1098,commuting,4,35-44,higher,1,1,employee,1,18.7,0,2.5
pt,18.5239,commuting,4,25-34,higher,0,1,employee,1,18.7,0,2.5
pt,1.6265,commuting,4,45-54,lower,1,0,employee,0,20,0,1.1
car,42.0819,other,4,45-54,lower,1,0,employee,0,20,0,1.1
pt,42.0819,taking_bringing_persons,4,45-54,lower,0,1,unemployed,1,20,0,1.1
pt,10.9642,commuting,3,45-54,middle,0,1,employee,1,18.4,0,2.2
walk,2.50258,other,3,45-54,lower,1,1,"family caregiver",0,18.4,0,2.2
pt,2.75441,commuting,3,18-24,lower,0,1,employee,1,18.4,0,2.2
pt,1.23539,commuting,3,18-24,lower,1,0,student,0,18.4,0,2.2
walk,0.488709,other,4,"more than 74",lower,0,1,retired/pensioner,1,14.4,0,1.9
walk,0.488709,other,4,"more than 74",lower,1,0,"family caregiver",0,14.4,0,1.9
pt,27.8249,commuting,4,45-54,lower,1,0,employee,0,20,0,1.1
walk,0.673594,commuting,4,35-44,lower,0,0,employee,0,20,0,1.1
car,31.5401,commuting,4,"less than 18",lower,0,0,student,0,20,0,1.1
car,31.5401,commuting,4,"less than 18",lower,1,0,student,0,20,0,1.1
pt,1.06321,commuting,1,25-34,lower,0,1,employee,1,19,5.6,0.8
pt,1.06321,commuting,1,18-24,lower,1,0,employee,0,19,5.6,0.8
car,1.06321,commuting,1,18-24,lower,1,0,employee,0,19,5.6,0.8
walk,0.769626,commuting,2,65-74,lower,1,1,employee,0,18.8,0.2,1.1
walk,2.01295,other,2,65-74,lower,0,1,retired/pensioner,1,18.8,0.2,1.1
pt,28.0047,commuting,2,35-44,higher,1,1,employee,0,18.8,0.2,1.1
pt,15.4465,commuting,2,35-44,lower,0,1,employee,1,18.8,0.2,1.1
walk,0.304879,shopping,2,35-44,lower,1,0,unemployed,0,18.8,0.2,1.1
walk,0.174113,commuting,2,"less than 18",lower,0,0,student,0,18.8,0.2,1.1
walk,0.364167,other,4,65-74,lower,1,0,retired/pensioner,0,18.7,0,2.5
walk,2.4138,other,4,"more than 74",higher,0,1,retired/pensioner,0,18.7,0,2.5
walk,0.869045,other,4,65-74,lower,1,0,retired/pensioner,0,18.7,0,2.5
pt,10.0122,commuting,1,55-64,middle,0,1,employee,1,17.6,13.5,1.4
walk,0.653407,shopping,1,55-64,lower,1,1,unemployed,1,17.6,13.5,1.4
pt,2.34321,commuting,1,25-34,higher,1,1,employee,0,17.6,13.5,1.4
walk,0.83154,other,4,65-74,higher,0,1,retired/pensioner,1,14.4,0,1.9
walk,0.83154,other,4,65-74,middle,1,1,"family caregiver",1,14.4,0,1.9
walk,0.859262,commuting,1,25-34,lower,1,1,employee,0,19,5.6,0.8
pt,29.8293,commuting,1,55-64,lower,1,0,employee,0,19,5.6,0.8
pt,1.68138,commuting,1,25-34,middle,0,1,employee,1,19,5.6,0.8
walk,0.180575,commuting,1,"less than 18",lower,0,0,student,0,19,5.6,0.8
pt,28.0342,commuting,4,35-44,higher,1,1,employee,1,14.4,0,1.9
walk,0.349796,commuting,4,35-44,higher,0,1,employee,1,14.4,0,1.9
car,31.0745,commuting,4,"less than 18",lower,0,0,student,0,14.4,0,1.9
walk,1.07737,other,1,55-64,lower,0,1,retired/pensioner,1,14.9,0,1.7
pt,3.25256,shopping,1,55-64,lower,0,1,retired/pensioner,1,14.9,0,1.7
car,3.25256,shopping,1,55-64,lower,1,0,"family caregiver",0,14.9,0,1.7
walk,0.910241,other,1,55-64,lower,1,0,"family caregiver",0,14.9,0,1.7
pt,2.27506,commuting,1,25-34,middle,0,1,employee,1,14.9,0,1.7
walk,0.72155,commuting,1,25-34,middle,0,1,employee,1,14.9,0,1.7
pt,16.8641,personal_errants,1,65-74,higher,0,1,retired/pensioner,1,14.9,0,1.7
car,16.8641,personal_errants,1,65-74,middle,1,1,"family caregiver",0,14.9,0,1.7
pt,26.0135,commuting,1,35-44,lower,1,1,employee,1,17.6,13.5,1.4
car,2.27131,other,4,55-64,lower,1,0,unemployed,0,14.4,0,1.9
pt,18.6888,commuting,4,25-34,higher,1,1,employee,1,14.4,0,1.9
pt,23.4199,commuting,1,18-24,middle,0,1,student,1,17.6,13.5,1.4
walk,0.845092,commuting,1,35-44,lower,1,0,employee,0,17.6,13.5,1.4
walk,1.20236,commuting,1,45-54,lower,0,0,employee,0,17.6,13.5,1.4
pt,19.6538,commuting,4,35-44,middle,0,1,employee,1,20,0,1.1
pt,2.51102,personal_errants,4,35-44,lower,0,1,unemployed,1,14.4,0,1.9
car,0.455179,personal_errants,2,55-64,lower,1,0,retired/pensioner,0,18.8,0.2,1.1
walk,0.455179,personal_errants,2,55-64,lower,1,0,retired/pensioner,0,18.8,0.2,1.1
pt,0.686622,shopping,2,65-74,lower,0,1,retired/pensioner,1,18.8,0.2,1.1
pt,0.455179,taking_bringing_persons,2,65-74,lower,0,1,retired/pensioner,1,18.8,0.2,1.1
pt,22.4532,commuting,4,35-44,lower,1,1,employee,1,20,0,1.1
pt,3.22162,shopping,4,35-44,lower,0,1,unemployed,1,20,0,1.1
walk,0.506048,commuting,4,"less than 18",lower,0,0,student,0,20,0,1.1
pt,3.18561,shopping,4,45-54,lower,1,1,unemployed,1,20,0,1.1
pt,15.6489,commuting,4,45-54,lower,0,1,employee,1,20,0,1.1
moto,1.44903,commuting,4,18-24,lower,0,1,student,1,20,0,1.1
walk,1.1126,commuting,4,"less than 18",lower,0,0,student,0,20,0,1.1
walk,1.20694,commuting,4,35-44,lower,0,1,employee,0,18.7,0,2.5
pt,29.7001,commuting,4,18-24,lower,0,0,student,0,18.7,0,2.5
walk,0.474766,other,4,35-44,lower,0,0,unemployed,0,18.7,0,2.5
pt,26.7834,commuting,4,18-24,lower,1,0,employee,0,14.4,0,1.9
pt,26.3182,commuting,4,25-34,lower,0,0,employee,0,14.4,0,1.9
walk,0.681074,other,4,"more than 74",lower,0,1,retired/pensioner,1,14.4,0,1.9
walk,3.18476,other,1,65-74,lower,0,1,retired/pensioner,1,17.6,13.5,1.4
walk,0.433112,shopping,1,65-74,lower,0,1,retired/pensioner,1,17.6,13.5,1.4
pt,10.4171,commuting,1,55-64,lower,1,1,employee,1,17.6,13.5,1.4
pt,9.85036,other,1,25-34,higher,1,1,employee,1,17.6,13.5,1.4
car,2.90642,commuting,1,35-44,higher,0,0,employee,0,19,5.6,0.8
pt,28.1153,commuting,1,55-64,higher,0,1,employee,1,19,5.6,0.8
car,28.1153,commuting,1,35-44,lower,1,0,employee,0,19,5.6,0.8
car,1.03058,commuting,1,"less than 18",lower,1,0,student,0,19,5.6,0.8
walk,0.142966,shopping,2,"more than 74",lower,0,1,retired/pensioner,1,15.8,0,1.9
walk,0.0924768,other,2,"more than 74",lower,0,1,retired/pensioner,1,15.8,0,1.9
walk,0.142966,shopping,2,"more than 74",lower,1,0,"family caregiver",0,15.8,0,1.9
walk,0.0924768,other,2,"more than 74",lower,1,0,"family caregiver",0,15.8,0,1.9
walk,0.664381,commuting,1,18-24,higher,0,0,student,0,14.9,0,1.7
pt,1.97319,commuting,1,45-54,lower,1,1,employee,1,17.6,13.5,1.4
pt,1.0759,commuting,1,45-54,higher,0,1,employee,1,17.6,13.5,1.4
pt,1.97319,commuting,1,"less than 18",lower,0,0,student,0,17.6,13.5,1.4
car,1.97319,commuting,1,"less than 18",lower,0,0,student,0,17.6,13.5,1.4
walk,0.225442,shopping,2,"more than 74",lower,1,0,retired/pensioner,0,15.8,0,1.9
walk,0.0595327,other,2,"more than 74",lower,1,0,retired/pensioner,0,15.8,0,1.9
pt,19.0617,commuting,1,35-44,lower,0,1,employee,1,14.9,0,1.7
walk,1.06791,shopping,1,25-34,middle,1,1,employee,0,14.9,0,1.7
walk,0.320121,commuting,1,"less than 18",lower,0,0,student,0,14.9,0,1.7
pt,23.0579,commuting,4,55-64,higher,0,1,employee,1,14.4,0,1.9
pt,1.27194,shopping,4,55-64,lower,1,1,"family caregiver",0,14.4,0,1.9
pt,33.0436,commuting,4,18-24,higher,1,0,student,0,14.4,0,1.9
pt,1.92619,commuting,4,18-24,lower,1,0,student,0,14.4,0,1.9
pt,39.7469,personal_errants,4,"more than 74",lower,1,0,retired/pensioner,0,18.7,0,2.5
car,1.97938,other,4,"more than 74",higher,0,1,retired/pensioner,1,18.7,0,2.5
pt,3.27448,commuting,4,45-54,lower,0,1,employee,1,20,0,1.1
walk,1.06076,commuting,4,45-54,lower,1,0,employee,0,20,0,1.1
walk,0.176906,shopping,4,18-24,lower,0,0,unemployed,0,20,0,1.1
pt,5.971,commuting,4,45-54,middle,1,1,employee,1,20,0,1.1
pt,22.0016,commuting,4,35-44,middle,0,1,employee,1,20,0,1.1
pt,16.4825,commuting,4,18-24,middle,1,1,employee,1,20,0,1.1
pt,0.777038,commuting,4,"less than 18",lower,1,0,student,0,20,0,1.1
pt,50.6514,commuting,2,25-34,lower,0,1,employee,1,18.8,0.2,1.1
pt,1.20695,commuting,2,25-34,lower,1,1,employee,1,18.8,0.2,1.1
car,32.8111,commuting,2,"less than 18",lower,1,0,student,0,18.8,0.2,1.1
bike,1.24642,other,3,"more than 74",lower,0,1,retired/pensioner,1,18.4,0,2.2
walk,1.83686,other,3,"more than 74",lower,0,1,retired/pensioner,1,18.4,0,2.2
walk,0.151782,shopping,3,65-74,lower,1,0,"family caregiver",0,18.4,0,2.2
walk,1.83686,other,3,65-74,lower,1,0,"family caregiver",0,18.4,0,2.2
pt,4.32838,commuting,4,25-34,higher,1,1,employee,1,14.4,0,1.9
pt,2.01833,shopping,4,55-64,higher,1,1,unemployed,1,14.4,0,1.9
walk,1.69116,other,4,35-44,lower,1,0,retired/pensioner,0,18.7,0,2.5
pt,1.69116,other,4,35-44,lower,1,0,retired/pensioner,0,18.7,0,2.5
pt,1.77688,other,4,"more than 74",lower,0,1,retired/pensioner,1,18.7,0,2.5
walk,0.159571,commuting,3,45-54,middle,1,1,employee,0,19.1,0,1.9
pt,11.0919,commuting,3,45-54,middle,0,1,employee,1,19.1,0,1.9
walk,0.109222,commuting,3,"less than 18",lower,0,0,student,0,19.1,0,1.9
pt,30.0243,commuting,4,45-54,higher,0,1,employee,1,14.4,0,1.9
pt,2.97858,commuting,4,45-54,higher,1,1,employee,0,14.4,0,1.9
walk,0.884935,commuting,4,"less than 18",middle,0,0,student,0,14.4,0,1.9
pt,0.503701,other,4,25-34,lower,0,1,unemployed,1,14.4,0,1.9
car,0.503701,other,4,25-34,lower,1,0,unemployed,0,14.4,0,1.9
walk,0.550793,commuting,4,"less than 18",lower,0,0,student,0,14.4,0,1.9
walk,0.364543,shopping,4,"more than 74",lower,0,0,retired/pensioner,0,14.4,0,1.9
pt,28.065,commuting,4,45-54,middle,1,1,employee,1,14.4,0,1.9
pt,4.11595,commuting,4,45-54,middle,0,1,employee,1,14.4,0,1.9
pt,1.37549,commuting,4,18-24,lower,1,1,student,0,14.4,0,1.9
pt,1.37957,commuting,4,18-24,lower,1,0,employee,0,14.4,0,1.9
walk,0.315588,shopping,4,25-34,lower,0,1,unemployed,1,14.4,0,1.9
walk,0.121112,shopping,1,25-34,lower,1,1,"family caregiver",0,17.6,13.5,1.4
walk,0.135497,other,1,25-34,lower,1,1,"family caregiver",0,17.6,13.5,1.4
walk,2.23077,other,4,55-64,lower,1,1,unemployed,1,18.7,0,2.5
pt,1.4229,other,4,55-64,lower,1,1,unemployed,1,18.7,0,2.5
walk,0.935491,other,4,65-74,lower,0,1,retired/pensioner,1,18.7,0,2.5
pt,1.4229,other,4,65-74,lower,0,1,retired/pensioner,1,18.7,0,2.5
walk,0.557174,other,1,25-34,higher,1,1,student,0,14.9,0,1.7
pt,2.79735,other,1,45-54,higher,1,1,unemployed,0,14.9,0,1.7
pt,24.1452,commuting,1,35-44,higher,0,0,employee,0,14.9,0,1.7
